name,label,deck,deckID,Type,playercount,cost,optioncost,VP,prereq,category,text,provides,alters,usereq,addsfuture,version,publisher,base,banned
2CFireplace,Fireplace,,1,MajorImp,,Cost2C,,1,,FPGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 2 Food Wild boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
3CFireplace,Fireplace,,2,MajorImp,,Cost3C,,1,,FPGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 2 Food Wild boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
4CCookingHearth,Cooking Hearth,,3,MajorImp,,,CostFP;Cost4C,1,,CHGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 3 Food Sheep: 2 Food Wild boar: 3 Food Cattle: 4 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 3 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
5CCookingHearth,Cooking Hearth,,4,MajorImp,,,CostFP;Cost5C,1,,CHGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 3 Food Sheep: 2 Food Wild boar: 3 Food Cattle: 4 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 3 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
ClayOven,Clay Oven,,5,MajorImp,,Cost3C;Cost1S,,2,,BreadGrp;VPGrp;OvenGrp,"Whenever you use the ""Bake bread"" Action, you can turn at most 1 Grain into 5 Food. When you take this card, you can immediately use the ""Bake bread"" Action.",%1g;%1t,,,,OriginalVersion,Z-Man,BaseSet,false
StoneOven,Stone Oven,,6,MajorImp,,Cost1C;Cost3S,,3,,BreadGrp;VPGrp;OvenGrp,"Whenever you use the ""Bake bread"" Action, you can turn up to 2 Grain into 4 Food each. When you take this card, you can immediately use the ""Bake bread"" Action.",%1g;%1t,,,,OriginalVersion,Z-Man,BaseSet,false
Joinery,Joinery,,7,MajorImp,,Cost2W;Cost2S,,2,,VPGrp;BonusGrp;GuildGrp;BigImpPoints,"In each Harvest, you can use the Joinery to convert at most 1 Wood to 2 Food. At the end of the game, you receive 1/2/3 Bonus points for 3/5/7 Wood.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
Pottery,Pottery,,8,MajorImp,,Cost2C;Cost2S,,2,,VPGrp;BonusGrp;GuildGrp;BigImpPoints,"In each Harvest, you can use the Pottery to convert at most 1 Clay to 2 Food. At the end of the game, you receive 1/2/3 Bonus points for 3/5/7 Clay.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
BasketmakersWorkshop,Basketmaker's Workshop,,9,MajorImp,,Cost2R;Cost2S,,2,,VPGrp;BonusGrp;GuildGrp;BigImpPoints,"In each Harvest, you can use the Basketmaker's Workshop to convert at most 1 Reed to 3 Food. At the end of the game, you receive 1/2/3 Bonus points for 2/4/5 Reed.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
Well,Well,,10,MajorImp,,Cost1W;Cost3S,,4,,VPGrp;WellGrp;BigImpPoints,"Place 1 Food each on the next 5 remaining Round spaces. At the start of these rounds, you receive the Food.",%1g,,,%1g,OriginalVersion,Z-Man,BaseSet,false
Field,Field,E,11,MinorImp,,,,,,%9d,"When you play this card, immediately Plow 1 field.",%1fs;%9t,,,,OriginalVersion,Z-Man,BaseSet,false
FishingRod,Fishing Rod,E,12,MinorImp,,Cost1W,,,,%3u;%4u,"Whenever you use the ""Fishing"" Action space, you receive 1 additional Food. From Round 8, you receive 2 additional Food.",%1g,%7as,,,OriginalVersion,Z-Man,BaseSet,false
Axe,Axe,E,13,MinorImp,,Cost1W;Cost1S,,,,RoomDiscounter;BigHouse;NurFG ,"Whenever you add a room to your Wooden hut, you only pay 2 Wood and 2 Reed.",%2g,%3t,,,OriginalVersion,Z-Man,BaseSet,false
BakersOven,Baker's Oven,E,14,MinorImp,,,,3,Cost1Oven,OvenGrp;BreadGrp;%10d,"Whenever you use the ""Bake bread"" action, you can use the Baker's Oven to convert up to 2 Grain into 5 Food each. When you play this card, you can also take the ""Bake bread"" Action.",%1g;%1t,,,,OriginalVersion,Z-Man,BaseSet,false
BakingTray,Baking Tray,E,15,MinorImp,,Cost1W,,,,%7s,"Clay Ovens and Stone Ovens are Minor Improvements for you. Clay, Stone and Wood-fired Ovens cost you 1 building resource (of your choice) less.",,ClayOven;StoneOven;%7t;Wood-FiredOven,,,OriginalVersion,Z-Man,BaseSet,false
BuildingMaterial,Building Material,E,16,MinorImp,,,,,,%9d,You receive either 1 Wood or 1 Clay when you play this card.,%2g;%3g,,,,OriginalVersion,Z-Man,BaseSet,false
Windmill,Windmill,E,17,MinorImp,,Cost3W;Cost1S,,2,,%10d,"At any time, you can convert Grain to 2 Food (without having to Bake bread.)",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
BeanField,Bean Field,E,18,MinorImp,,,,1,Cost2Occ,%10d;%17u,"When you Sow, you can plant Vegetables on this card as though it were a field. (This card does not count as a field when scoring.)",,,,,OriginalVersion,Z-Man,BaseSet,false
GypsysCrock,Gypsy's Crock,E,19,MinorImp,,Cost2C,,1,,%10d,"Whenever you convert any 2 goods to Food at one time using a Fireplace, Cooking Hearth or Cooking Corner, you receive 1 additional Food.",%1g,FPGrp;CHGrp;CookingCorner,,,OriginalVersion,Z-Man,BaseSet,false
SimpleFireplace,Simple Fireplace,E,20,MinorImp,,Cost1C,,1,,%5d;%2d;%4d;%10d,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 1 Food Wild Boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
Half-timberedHouse,Half-timbered House,E,21,MinorImp,,Cost1W;Cost1C;Cost1R;Cost2S,,,,%1d;%12u;%3s,"At the end of the game you receive 1 Bonus point for each room in your Stone house. (In total, you receive 3 points instead of 2 per room.)(If you have played the Mansion, you do not score extra points for having the Half-timbered House.)",%17g,,,,OriginalVersion,Z-Man,BaseSet,false
Raft,Raft,E,22,MinorImp,,Cost2W,,1,,%10d;%4u,"Whenever you use the ""Fishing"" Action space, you receive an additional 1 Food or 1 Reed.",%1g;%4g,%7as,,,OriginalVersion,Z-Man,BaseSet,false
Manger,Manger,E,23,MinorImp,,Cost2W,,,,%1d;%12u,"At the end of the game, if your pastures occupy 6/7/8/9+ farmyard spaces, you receive 1/2/3/4 Bonus points.",%17g,,,,OriginalVersion,Z-Man,BaseSet,false
AnimalPen,Animal Pen,E,24,MinorImp,,,,1,Cost4Occ,%10d;%3u;%10s,"Place 2 Food on each remaining Round space. At the start of each round, you receive the Food.",%1g,,,%1g,OriginalVersion,Z-Man,BaseSet,false
Spices,Spices,E,25,MinorImp,,,,,,,"Whenever you convert Vegetables to Food using a Fireplace, Cooking Hearth or Cooking Corner, you receive 1 additional Food.",%1g,FPGrp;CHGrp;CookingCorner,,,OriginalVersion,Z-Man,BaseSet,false
Plane,Plane,E,26,MinorImp,,Cost1W,,,,%5u,"Whenever you turn 1 Wood into Food using the Joinery, Sawmill or Cabinetmaker, you receive 1 additional Food. You can choose instead to turn a second Wood into exactly 2 Food.",%1g,Joinery;Sawmill;Cabinetmaker,,,OriginalVersion,Z-Man,BaseSet,false
Wood-FiredOven,Wood-Fired Oven,E,27,MinorImp,,Cost3W;Cost1S,,2,,%2d;%8d;%10d,"Whenever you use the ""Bake bread"" action, you can use the Wood-fired Oven to turn any number of Grain into 3 Food each. When you play this card, you can also take the ""Bake bread"" action.",%1g;%1t,,,,OriginalVersion,Z-Man,BaseSet,false
Clogs,Clogs,E,28,MinorImp,,Cost1W,,,,%1d,"At the end of the game, you receive 1 Bonus point for a Clay hut or 2 Bonus points for a Stone house.",%17g,,,,OriginalVersion,Z-Man,BaseSet,false
ShepherdsPipe,Shepherd's Pipe,E,29,MinorImp,,,,,Cost1Sh,,You can hold up to 2 additional Sheep in each of the pastures where you keep Sheep. You can keep up to 2 Sheep in each unfenced stable.,,%9fs;%12fs,,,OriginalVersion,Z-Man,BaseSet,false
Canoe,Canoe,E,30,MinorImp,,Cost2W,,1,Cost2Occ,%10d;%4u,"Whenever you use the ""Fishing"" Action space, you receive an additional 1 Food and 1 Reed.",%1g;%4g,%7as,,,OriginalVersion,Z-Man,BaseSet,false
CarpPond,Carp Pond,E,31,MinorImp,,,,1,Cost1Occ;Cost2Imp,%10d;%13u,"Place 1 Food on each remaining odd-numbered Round space. At the start of these rounds, you receive the Food.",%1g,,,%1g,OriginalVersion,Z-Man,BaseSet,false
PotatoDibber,Potato Dibber,E,32,MinorImp,,Cost1W,,,,%7s,"Whenever you Sow fields with Vegetables, place 1 additional Vegetable on each field that you Sow.",%7g,%11t,,,OriginalVersion,Z-Man,BaseSet,false
Ceramics,Ceramics,E,33,MinorImp,,Cost1C,,,CostHaveOven,,"When you play this card, you receive 2 Food. From now, the Pottery is a Minor Improvement for you and costs you nothing.",%1g,%7t,,,OriginalVersion,Z-Man,BaseSet,false
Basket,Basket,E,34,MinorImp,,Cost1R,,,,,"Whenever you use a person's action to take Wood from an Action space, you can leave 2 of the Wood on the Action space and receive 3 Food in exchange.",%1g,%25t;%4as;%26as;%27as,,,OriginalVersion,Z-Man,BaseSet,false
CornScoop,Corn Scoop,E,35,MinorImp,,Cost1W,,,,%7s,"Whenever you use the ""Take 1 Grain"" Action, you receive 1 additional Grain.",%6g,%10as,,,OriginalVersion,Z-Man,BaseSet,false
ClayRoof,Clay Roof,E,36,MinorImp,,,,1,Cost1Occ,%10d;%15u;%16u;%9s,You can replace 1 or 2 Reed with the same amount of Clay whenever you extend or renovate your home.,%4g,%3t;%10t,,,OriginalVersion,Z-Man,BaseSet,false
ClaySupports,Clay Supports,E,37,MinorImp,,Cost2W,,,,%16u;%5s;%3s,"Whenever you add a room to your Clay hut, you can pay 2 Clay, 1 Wood and 1 Reed instead of 5 Clay and 2 Reed.",,%3t,,,OriginalVersion,Z-Man,BaseSet,false
MadonnaStatue,Madonna Statue,E,38,MinorImp,,,,2,CostRm2Imp,%10d,The Madonna Statue has no effect. (You must remove Improvements that are on the table in front of you. You may not discard cards from your hand. It is irrelevant whether you remove Major or Minor Improvements.),%17g,,,,OriginalVersion,Z-Man,BaseSet,false
MarketStall,Market Stall,E,39,MinorImp,,Cost1G,,,,%9d,"When you play this card, you receive 1 Vegetable.",%7g,,,,OriginalVersion,Z-Man,BaseSet,false
MiniPasture,Mini Pasture,E,40,MinorImp,,Cost2F,,,,%9d,"When you play this card, immediately Fence one space in your farmyard. (You do not need to pay Wood for the fences.)",%2t;%12g,,,,OriginalVersion,Z-Man,BaseSet,false
Millstone,Millstone,E,41,MinorImp,,Cost1S,,,,,"Whenever you Bake 1 or more Grain into bread, you receive 2 additional Food.",%1g,%1t,,,OriginalVersion,Z-Man,BaseSet,false
HelpfulNeighbors,Helpful Neighbors,E,42,MinorImp,,,Cost1W;Cost1C,,,%9d,"When you play this card, you receive either 1 Stone or 1 Reed.",%4g;%5g,,,,OriginalVersion,Z-Man,BaseSet,false
FruitTree,Fruit Tree,E,43,MinorImp,,,,1,Cost3Occ,%10d;%13u,"Place 1 Food on each remaining Round space for rounds 8 to 14. At the start of these rounds, you receive the Food.",%1g,,,%1g,OriginalVersion,Z-Man,BaseSet,false
Outhouse,Outhouse,E,44,MinorImp,,Cost1W;Cost1C,,2,,%10d,The Outhouse has no effect. You can only build it if at least one other player has fewer than 2 Occupations. (It is irrelevant how many Occupations you have played.),%17g,,,,OriginalVersion,Z-Man,BaseSet,false
PrivateForest,Private Forest,E,45,MinorImp,,Cost2F,,,,,"Place 1 Wood on each remaining even-numbered Round space. At the start of these rounds, you receive the Wood.",%2g,,,%2g,OriginalVersion,Z-Man,BaseSet,false
SackCart,Sack Cart,E,46,MinorImp,,Cost2W,,,Cost2Occ,,"Place 1 Grain each on the spaces for rounds 5,8,11 and 14. At the start of these rounds, you receive the Grain.",%6g,,,%6g,OriginalVersion,Z-Man,BaseSet,false
LettucePatch,Lettuce Patch,E,47,MinorImp,,,,1,Cost3Occ,%10d;%17u;%5u,"On this card, you can plant Vegetables as you would on a field. Vegetables on this field can be converted to 4 Food when harvested. (This card does not count as a field when scoring.)",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
ReedPond,Reed Pond,E,48,MinorImp,,,,1,Cost3Occ,%10d;%10s,"Place 1 Reed each on the next 3 Round spaces. At the start of each round, you receive the Reed.",%4g,,,%4g,OriginalVersion,Z-Man,BaseSet,false
WritingDesk,Writing Desk,E,49,MinorImp,,Cost1W,,1,Cost2Occ,%10d;%10s,"Whenever you use an ""Occupation"" Action, you may play 2 Occupations one after another. The second Occupation costs you 2 Food.",%8t,%2as;%25as,,,OriginalVersion,Z-Man,BaseSet,false
BuildersTrowel,Builder's Trowel,E,50,MinorImp,,Cost1W,,,,%5s,"You can Renovate your Wooden hut to a Clay hut at any time without using the ""Renovate"" action. (You must still pay for the Renovation.)",%10t,,,,OriginalVersion,Z-Man,BaseSet,false
Spindle,Spindle,E,51,MinorImp,,Cost1W,,,,%5u,"Whenever you have 3/5 Sheep during the Field phase of a Harvest, you receive 1/2 additional Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
StableImp,StableImp,E,52,MinorImp,,Cost1W,,,,%9d,"When you play this card, immediately build 1 stable. (The stable does not cost anything, but you must pay the cost shown to play this card.)",%13g,,,,OriginalVersion,Z-Man,BaseSet,false
ButterChurn,Butter Churn,E,53,MinorImp,,Cost2W,,,,%5u,"Whenever you have Sheep during the Field phase of a Harvest, you receive 1 Food for each third Sheep. Whenever you have Cattle during the Field phase, you receive 1 Food for each second Cattle.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
Quarry,Quarry,E,54,MinorImp,,,,2,Cost4Occ,%10d;%12u;%4s;%10s,"Whenever you use the ""Day Laborer"" Action, you receive an additional 3 Stone.",%5g,%6as,,,OriginalVersion,Z-Man,BaseSet,false
StoneHouseExtension,Stone House Extension,E,55,MinorImp,,Cost1R;Cost3S,,,,%9d;%6s;%16u;%14u,"When you play this card, immediately extend your Stone house by 1 room. (The room does not cost anything, but you must pay the cost shown to play this card.)",%7fs;%3t,,,,OriginalVersion,Z-Man,BaseSet,false
StoneTongs,Stone Tongs,E,56,MinorImp,,Cost1W,,,,,"Whenever you use one of the ""Stone"" Action spaces that become available in Stage 2 and Stage 4, you receive 1 additional Stone.",%5g,%15as;%21as,,,OriginalVersion,Z-Man,BaseSet,false
Dovecote,Dovecote,E,57,MinorImp,,Cost2S,,2,,%10d,"Place 1 Food each on the spaces for rounds 10 to 14. At the start of these rounds, you receive the Food.",%1g,,,%1g,OriginalVersion,Z-Man,BaseSet,false
AnimalYard,Animal Yard,E,58,MinorImp,,Cost2W,,1,Cost1Occ,%10d;%8s,On this card you can hold up to 2 animals of you choice. They need not be the same type of animal. (This card does not count as a pasture for scoring.)(This card does not give you animals.),,,,,OriginalVersion,Z-Man,BaseSet,false
DrinkingTrough,Drinking Trough,E,59,MinorImp,,Cost2W,,1,,%10d,Each pasture (with or without a stable) can hold up to 2 more animals.,,%9fs,,,OriginalVersion,Z-Man,BaseSet,false
CattleMarket,Cattle Market,E,60,MinorImp,,Cost1Sh,,,,%9d,"When you play this card, return 1 Sheep to the supply and take 1 Cattle.",%10g,,,,OriginalVersion,Z-Man,BaseSet,false
RidingPlow,Riding Plow,E,61,MinorImp,,Cost4W,,,Cost3Occ,%7d;%2s,"Twice during the game, when you use either the ""Plow 1 field"" or ""Plow 1 field and/or Sow"" action, you can Plow 3 fields instead of 1.",%1fs,%8as;%23as,,,OriginalVersion,Z-Man,BaseSet,false
TurnwrestPlow,Turnwrest Plow,E,62,MinorImp,,Cost3W,,,Cost2Occ,%7d,"Once during the game, when you use either ""Plow 1 field"" or ""Plow 1 field and/or Sow"" action, you can Plow 3 fields instead of 1.",%1fs,%8as;%23as,,,OriginalVersion,Z-Man,BaseSet,false
LandAgent,Land Agent,E,147,Occupation,3,,,,,%7u,"Whenever you use the ""Take 1 Vegetable"" Action space, you also receive 1 Grain. When you play this card, you receive 1 Vegetable from the supply.",%6g;%7g,%19as,,,OriginalVersion,Z-Man,BaseSet,false
Academic,Academic,E,148,Occupation,3,,,,,,"This card counts as 2 Occupations for Minor Improvements and when scoring the ""Reeve"" Occupation card.",,,,,OriginalVersion,Z-Man,BaseSet,false
MasterBaker,Master Baker,E,149,Occupation,4,,,,,,"Whenever another player Bakes bread, you can Bake bread if you have a Baking Improvement with the bread symbol. If you take a Bake action yourself (not using this card), you receive 1 additional Food.",%1g;%1t,,,,OriginalVersion,Z-Man,BaseSet,false
Baker,Baker,E,150,Occupation,1,,,,,%5u;%7u,"During each Harvest, you may Bake bread at the start of the Feeding phase if you have an Improvement with the bread symbol. When you play this card, you may Bake bread as an additional action.",%1t,,,,OriginalVersion,Z-Man,BaseSet,false
MasterBuilder,Master Builder,E,151,Occupation,1,,,,,%12u;%3s,"Once during the game, at any time after your home reaches at least 5 rooms, you may extend it by 1 room at no cost.",%5fs;%6fs;%7fs,,,,OriginalVersion,Z-Man,BaseSet,false
BerryPicker,Berry Picker,E,152,Occupation,3,,,,,,"Whenever you use a Family member's action to take Wood, you receive an additional 1 Food.",%1g,%25t;%4as;%26as;%27as,,,OriginalVersion,Z-Man,BaseSet,false
Mendicant,Mendicant,E,153,Occupation,1,,,,,,"At the end of the game, you can discard up to 2 Begging card without losing points for them.",,%14g,,,OriginalVersion,Z-Man,BaseSet,false
MasterBrewer,Master Brewer,E,154,Occupation,1,,,,,%5u;%7s,"In the Feeding phase of each Harvest, the Master Brewer can convert up to 1 Grain to 3 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
BreadSeller,Bread Seller,E,155,Occupation,3,,,,,,"You receive 1 Food for the supply for each Grain that is baked whenever any player (including you) Bakes bread. (To Bake, you need a Baking Improvement with the bread symbol.)",%1g,%1t,,,OriginalVersion,Z-Man,BaseSet,false
BrushMaker,Brush Maker,E,156,Occupation,3,,,,,%1d;%12u,"Whenever you convert Wild boar to Food, you can choose to place the boar on this card. At the end of the game, you receive 1/2/3 Bonus points for 2/3/4 slaughtered Wild boar.",%17g,,,,OriginalVersion,Z-Man,BaseSet,false
Thatcher,Thatcher,E,157,Occupation,3,,,,,%15u;%16u,"Pay 1 Reed less to Build each room, for each Renovation, and for each of the Water Mill, Half-timbered House, Chicken Coop, Holiday Home, Mansion and Corn Storehouse.",%4g,%3t;%10t,,,OriginalVersion,Z-Man,BaseSet,false
Turner,Turner,E,158,Occupation,3,,,,,,"At any time, you can use the Turner to convert any number of Wood to 1 Food each.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
HeadoftheFamily,Head of the Family,E,159,Occupation,4,,,,,%6u;%14u,"You can use any Build room(s) or Family growth Action space, even if another player has already placed a person on it.",,%5as;%16as;%22as,,,OriginalVersion,Z-Man,BaseSet,false
Farmer,Farmer,E,160,Occupation,4,,,,,,"The next time you build fences, take 1 Wild boar. Each time you build at least 1 fence after that, take 1 Cattle.",%9g;%10g,%5r,,,OriginalVersion,Z-Man,BaseSet,false
Fisherman,Fisherman,E,161,Occupation,3,,,,,%4u,"Whenever you use the ""Fishing"" Action space, you can choose to take twice as much Food as is on the space. If you do this, you must give 1 Food each to the Fishing Rod, Raft, Canoe, Fish Trap and Landing Net.",%1g,%7as,,,OriginalVersion,Z-Man,BaseSet,false
MeatSeller,Meat Seller,E,162,Occupation,1,,,,,%3u,"If you have an Oven, you can change your animals into Food an any time. Take 2 Food for each Sheep, 3 for each Wild boar and 4 for each Cattle.",,,%8d,,OriginalVersion,Z-Man,BaseSet,false
FieldWarden,Field Warden,E,163,Occupation,4,,,,,%6u;%11u,"You can use the ""Take 1 Vegetable"", ""Plow 1 field"" and ""Plow 1 field and/or Sow"" action even if another player has placed a person on the space.",,%8as;%19as;%23as,,,OriginalVersion,Z-Man,BaseSet,false
MasterForester,Master Forester,E,164,Occupation,4,,,,,,"Include the ""2 Wood"" Action card from the 3-player game as an additional forest. At the start of each round, place 2 Wood on the card. Any player who uses this action must pay you 2 Food.",%2g,,,,OriginalVersion,Z-Man,BaseSet,false
YeomanFarmer,Yeoman Farmer,E,165,Occupation,3,,,,,%1d,"At the end of the game, you only lose points for Unused spaces and Begging cards.",,,,,OriginalVersion,Z-Man,BaseSet,false
Undergardener,Undergardener,E,166,Occupation,4,,,,,%2u;%7s,"Whenever you use the ""Day Laborer"" Action space, you also receive 1 Vegetable.",%7g,%6as,,,OriginalVersion,Z-Man,BaseSet,false
Conjurer,Conjurer,E,167,Occupation,4,,,,,%18u,"Whenever you use the ""Traveling Players"" action on an Action space, you receive 1 Grain in addition to the Food.",%6g,%30as,,,OriginalVersion,Z-Man,BaseSet,false
Greengrocer,Greengrocer,E,168,Occupation,3,,,,,%7s,"Whenever you use the ""Take 1 Grain"" Action space, you also receive 1 Vegetable.",%7g,%10as,,,OriginalVersion,Z-Man,BaseSet,false
Storyteller,Storyteller,E,169,Occupation,4,,,,,%18u;%7s,"Whenever you use the ""Traveling Players"" action on an Action space, you can leave 1 Food on the space and take 1 Vegetable instead.",%7g,%30as,,,OriginalVersion,Z-Man,BaseSet,false
